Name,Description,Gen.
Adaptability,"Powers up moves of the same type.",4
Aerilate,"Turns Normal-type moves into Flying-type moves.",6
Aftermath,"Damages the attacker landing the finishing hit.",4
Air Lock,"Eliminates the effects of weather.",3
Analytic,"Boosts move power when the Pokémon moves last.",5
Anger Point,"Maxes Attack after taking a critical hit.",4
Anger Shell,"Lowers Defense/Sp. Def and raises Attack/Sp. Atk/Speed when HP drops below half.",9
Anticipation,"Senses a foe's dangerous moves.",4
Arena Trap,"Prevents the foe from fleeing.",3
Armor Tail,"Prevents opponent using priority moves.",9
Aroma Veil,"Protects allies from attacks that limit their move choices.",6
As One,"Combines Unnerve and Chilling Neigh/Grim Neigh",8
Aura Break,"Reduces power of Dark- and Fairy-type moves.",6
Bad Dreams,"Reduces a sleeping foe's HP.",4
Ball Fetch,"Retrieves a Poké Ball from a failed throw.",8
Battery,"Raises power of teammates' Special moves.",7
Battle Armor,"The Pokémon is protected against critical hits.",3
Battle Bond,"Transform into Ash-Greninja after causing opponent to faint.",7
Beads of Ruin,"Lowers Special Defense of all Pokémon except itself.",9
Beast Boost,"The Pokémon boosts its most proficient stat each time it knocks out a Pokémon.",7
Berserk,"Raises Special Attack when HP drops below half.",7
Big Pecks,"Protects the Pokémon from Defense-lowering attacks.",5
Blaze,"Powers up Fire-type moves in a pinch.",3
Bulletproof,"Protects the Pokémon from ball and bomb moves.",6
Cheek Pouch,"Restores additional HP when a Berry is consumed.",6
Chilling Neigh,"Boosts Attack after knocking out a Pokémon.",8
Chlorophyll,"Boosts the Pokémon's Speed in sunshine.",3
Clear Body,"Prevents other Pokémon from lowering its stats.",3
Cloud Nine,"Eliminates the effects of weather.",3
Color Change,"Changes the Pokémon's type to the foe's move.",3
Comatose,"The Pokémon is always asleep but can still attack.",7
Commander,"Goes inside the mouth of an ally Dondozo if one is on the field.",9
Competitive,"Sharply raises Special Attack when the Pokémon's stats are lowered.",6
Compound Eyes,"The Pokémon's accuracy is boosted.",3
Contrary,"Makes stat changes have an opposite effect.",5
Corrosion,"The Pokémon can poison Steel and Poison types.",7
Costar,"Copies ally's stat changes on entering battle.",9
Cotton Down,"Lowers foe's Speed when hit.",8
Cud Chew,"Can eat the same Berry twice.",9
Curious Medicine,"Resets all stat changes upon entering battlefield.",8
Cursed Body,"May disable a move used on the Pokémon.",5
Cute Charm,"Contact with the Pokémon may cause infatuation.",3
Damp,"Prevents the use of self-destructing moves.",3
Dancer,"Copies the foe's Dance moves.",7
Dark Aura,"Raises power of Dark type moves for all Pokémon in battle.",6
Dauntless Shield,"Boosts Defense in battle.",8
Dazzling,"Protects the Pokémon from high-priority moves.",7
Defeatist,"Lowers stats when HP drops below half.",5
Defiant,"Sharply raises Attack when the Pokémon's stats are lowered.",5
Delta Stream,"Creates strong winds when the ability activates.",6
Desolate Land,"Turns the sunlight extremely harsh when the ability activates.",6
Disguise,"Avoids damage for one turn.",7
Download,"Adjusts power according to a foe's defenses.",4
Dragon's Maw,"Powers up Dragon-type moves.",8
Drizzle,"The Pokémon makes it rain when it enters a battle.",3
Drought,"Turns the sunlight harsh when the Pokémon enters a battle.",3
Dry Skin,"Reduces HP if it is hot. Water restores HP.",4
Early Bird,"The Pokémon awakens quickly from sleep.",3
Earth Eater,"Restores HP when hit by a Ground-type move.",9
Effect Spore,"Contact may poison or cause paralysis or sleep.",3
Electric Surge,"The Pokémon creates an Electric Terrain when it enters a battle.",7
Electromorphosis,"Doubles power of the next Electric-type move when hit by an attack.",9
Emergency Exit,"Switches out when HP falls below 50%.",7
Fairy Aura,"Raises power of Fairy type moves for all Pokémon in battle.",6
Filter,"Reduces damage from super-effective attacks.",4
Flame Body,"Contact with the Pokémon may burn the attacker.",3
Flare Boost,"Powers up special attacks when burned.",5
Flash Fire,"It powers up Fire-type moves if it's hit by one.",3
Flower Gift,"Powers up party Pokémon when it is sunny.",4
Flower Veil,"Prevents lowering of ally Grass-type Pokémon's stats.",6
Fluffy,"Halves damage from contact moves, but doubles damage from Fire-type moves.",7
Forecast,"Castform transforms with the weather.",3
Forewarn,"Determines what moves a foe has.",4
Friend Guard,"Reduces damage done to allies.",5
Frisk,"The Pokémon can check a foe's held item.",4
Full Metal Body,"Prevents other Pokémon from lowering its stats.",7
Fur Coat,"Reduces damage from physical moves.",6
Gale Wings,"Gives priority to Flying-type moves.",6
Galvanize,"Normal-type moves become Electric-type moves and their power boosted.",7
Gluttony,"Encourages the early use of a held Berry.",4
Good as Gold,"Gives immunity to status moves.",9
Gooey,"Contact with the Pokémon lowers the attacker's Speed stat.",6
Gorilla Tactics,"Boosts the Pokémon's Attack stat but only allows the use of the first selected move.",8
Grass Pelt,"Boosts the Defense stat in Grassy Terrain.",6
Grassy Surge,"The Pokémon creates a Grassy Terrain when it enters a battle.",7
Grim Neigh,"Boosts Special Attack after knocking out a Pokémon.",8
Guard Dog,"Boosts Attack if intimidated, and prevents being forced to switch out.",9
Gulp Missile,"Returns with a catch in its mouth after using Surf or Dive.",8
Guts,"Boosts Attack if there is a status problem.",3
Hadron Engine,"Creates an Electric Terrain when entering battle, and boosts Special Attack while active.",9
Harvest,"May create another Berry after one is used.",5
Healer,"May heal an ally's status conditions.",5
Heatproof,"Weakens the power of Fire-type moves.",4
Heavy Metal,"Doubles the Pokémon's weight.",5
Honey Gather,"The Pokémon may gather Honey from somewhere.",4
Huge Power,"Raises the Pokémon's Attack stat.",3
Hunger Switch,"Changes forms each turn.",8
Hustle,"Boosts the Attack stat, but lowers accuracy.",3
Hydration,"Heals status problems if it is raining.",4
Hyper Cutter,"Prevents other Pokémon from lowering Attack stat.",3
Ice Body,"The Pokémon gradually regains HP in a hailstorm.",4
Ice Face,"Avoids damage from Physical moves for one turn.",8
Ice Scales,"Halves damage from Special moves.",8
Illuminate,"Raises the likelihood of meeting wild Pokémon.",3
Illusion,"Enters battle disguised as the last Pokémon in the party.",5
Immunity,"Prevents the Pokémon from getting poisoned.",3
Imposter,"It transforms itself into the Pokémon it is facing.",5
Infiltrator,"Passes through the foe's barrier and strikes.",5
Innards Out,"Deals damage upon fainting.",7
Inner Focus,"The Pokémon is protected from flinching.",3
Insomnia,"Prevents the Pokémon from falling asleep.",3
Intimidate,"Lowers the foe's Attack stat.",3
Intrepid Sword,"Boosts Attack in battle.",8
Iron Barbs,"Inflicts damage to the Pokémon on contact.",5
Iron Fist,"Boosts the power of punching moves.",4
Justified,"Raises Attack when hit by a Dark-type move.",5
Keen Eye,"Prevents other Pokémon from lowering accuracy.",3
Klutz,"The Pokémon can't use any held items.",4
Leaf Guard,"Prevents problems with status in sunny weather.",4
Levitate,"Gives immunity to Ground type moves.",3
Libero,"Changes the Pokémon's type to its last used move.",8
Light Metal,"Halves the Pokémon's weight.",5
Lightning Rod,"Draws in all Electric-type moves to up Sp. Attack.",3
Limber,"The Pokémon is protected from paralysis.",3
Lingering Aroma,"Contact changes the attacker's Ability to Lingering Aroma.",9
Liquid Ooze,"Damages attackers using any draining move.",3
Liquid Voice,"All sound-based moves become Water-type moves.",7
Long Reach,"The Pokémon uses its moves without making contact with the target.",7
Magic Bounce,"Reflects status- changing moves.",5
Magic Guard,"Protects the Pokémon from indirect damage.",4
Magician,"The Pokémon steals the held item of a Pokémon it hits with a move.",6
Magma Armor,"Prevents the Pokémon from becoming frozen.",3
Magnet Pull,"Prevents Steel-type Pokémon from escaping.",3
Marvel Scale,"Ups Defense if there is a status problem.",3
Mega Launcher,"Boosts the power of aura and pulse moves.",6
Merciless,"The Pokémon's attacks become critical hits if the target is poisoned.",7
Mimicry,"Changes type depending on the terrain.",8
Minus,"Ups Sp. Atk if another Pokémon has Plus or Minus.",3
Mirror Armor,"Reflects any stat-lowering effects.",8
Misty Surge,"The Pokémon creates a Misty Terrain when it enters a battle.",7
Mold Breaker,"Moves can be used regardless of Abilities.",4
Moody,"Raises one stat and lowers another.",5
Motor Drive,"Raises Speed if hit by an Electric-type move.",4
Moxie,"Boosts Attack after knocking out any Pokémon.",5
Multiscale,"Reduces damage when HP is full.",5
Multitype,"Changes type to match the held Plate.",4
Mummy,"Contact with this Pokémon spreads this Ability.",5
Mycelium Might,"Status moves go last, but are not affected by the opponent's ability.",9
Natural Cure,"All status problems heal when it switches out.",3
Neuroforce,"Powers up moves that are super effective.",7
Neutralizing Gas,"Neutralizes abilities of all Pokémon in battle.",8
No Guard,"Ensures attacks by or against the Pokémon land.",4
Normalize,"All the Pokémon's moves become the Normal type.",4
Oblivious,"Prevents it from becoming infatuated.",3
Opportunist,"Copies stat boosts by the opponent.",9
Orichalcum Pulse,"Turns the sunlight harsh when entering battle, and boosts Attack while active.",9
Overcoat,"Protects the Pokémon from weather damage.",5
Overgrow,"Powers up Grass-type moves in a pinch.",3
Own Tempo,"Prevents the Pokémon from becoming confused.",3
Parental Bond,"Allows the Pokémon to attack twice.",6
Pastel Veil,"Prevents the Pokémon and its allies from being poisoned.",8
Perish Body,"When hit by a move that makes direct contact, the Pokémon and the attacker will faint after three turns unless they switch out of battle.",8
Pickpocket,"Steals an item when hit by another Pokémon.",5
Pickup,"The Pokémon may pick up items.",3
Pixilate,"Turns Normal-type moves into Fairy-type moves.",6
Plus,"Ups Sp. Atk if another Pokémon has Plus or Minus.",3
Poison Heal,"Restores HP if the Pokémon is poisoned.",4
Poison Point,"Contact with the Pokémon may poison the attacker.",3
Poison Touch,"May poison targets when a Pokémon makes contact.",5
Power Construct,"Changes form when HP drops below half.",7
Power of Alchemy,"The Pokémon copies the Ability of a defeated ally.",7
Power Spot,"Just being next to the Pokémon powers up moves.",8
Prankster,"Gives priority to a status move.",5
Pressure,"The Pokémon raises the foe's PP usage.",3
Primordial Sea,"Makes it rain heavily when the ability activates.",6
Prism Armor,"Reduces damage from super-effective attacks.",7
Propeller Tail,"Ignores moves and abilities that draw in moves.",8
Protean,"Changes the Pokémon's type to its last used move.",6
Protosynthesis,"Raises highest stat in harsh sunlight, or if holding Booster Energy.",9
Psychic Surge,"The Pokémon creates a Psychic Terrain when it enters a battle.",7
Punk Rock,"Boosts sound-based moves and halves damage from the same moves.",8
Pure Power,"Raises the Pokémon's Attack stat.",3
Purifying Salt,"Protects from status conditions and halves damage from Ghost-type moves.",9
Quark Drive,"Raises highest stat on Electric Terrain, or if holding Booster Energy.",9
Queenly Majesty,"Prevents use of priority moves.",7
Quick Draw,"",8
Quick Feet,"Boosts Speed if there is a status problem.",4
Rain Dish,"The Pokémon gradually regains HP in rain.",3
Rattled,"Bug, Ghost or Dark type moves scare it and boost its Speed.",5
Receiver,"Inherits an ally's ability when it faints.",7
Reckless,"Powers up moves that have recoil damage.",4
Refrigerate,"Turns Normal-type moves into Ice-type moves.",6
Regenerator,"Restores a little HP when withdrawn from battle.",5
Ripen,"Doubles the effect of berries.",8
Rivalry,"Deals more damage to a Pokémon of same gender.",4
RKS System,"Changes type depending on held item.",7
Rock Head,"Protects the Pokémon from recoil damage.",3
Rocky Payload,"Powers up Rock-type moves.",9
Rough Skin,"Inflicts damage to the attacker on contact.",3
Run Away,"Enables a sure getaway from wild Pokémon.",3
Sand Force,"Boosts certain moves' power in a sandstorm.",5
Sand Rush,"Boosts the Pokémon's Speed in a sandstorm.",5
Sand Spit,"Creates a sandstorm when hit by an attack.",8
Sand Stream,"The Pokémon summons a sandstorm in battle.",3
Sand Veil,"Boosts the Pokémon's evasion in a sandstorm.",3
Sap Sipper,"Boosts Attack when hit by a Grass-type move.",5
Schooling,"Changes Wishiwashi to School Form.",7
Scrappy,"Enables moves to hit Ghost-type Pokémon.",4
Screen Cleaner,"Nullifies effects of Light Screen, Reflect, and Aurora Veil.",8
Seed Sower,"Turns the ground into Grassy Terrain when the Pokémon is hit by an attack.",9
Serene Grace,"Boosts the likelihood of added effects appearing.",3
Shadow Shield,"Reduces damage when HP is full.",7
Shadow Tag,"Prevents the foe from escaping.",3
Sharpness,"Powers up slicing moves.",9
Shed Skin,"The Pokémon may heal its own status problems.",3
Sheer Force,"Removes added effects to increase move damage.",5
Shell Armor,"The Pokémon is protected against critical hits.",3
Shield Dust,"Blocks the added effects of attacks taken.",3
Shields Down,"Changes stats when HP drops below half.",7
Simple,"Doubles all stat changes.",4
Skill Link,"Increases the frequency of multi-strike moves.",4
Slow Start,"Temporarily halves Attack and Speed.",4
Slush Rush,"Boosts the Pokémon's Speed stat in a hailstorm.",7
Sniper,"Powers up moves if they become critical hits.",4
Snow Cloak,"Raises evasion in a hailstorm.",4
Snow Warning,"The Pokémon summons a hailstorm in battle.",4
Solar Power,"In sunshine, Sp. Atk is boosted but HP decreases.",4
Solid Rock,"Reduces damage from super-effective attacks.",4
Soul-Heart,"Raises Special Attack when another Pokémon faints.",7
Soundproof,"Gives immunity to sound-based moves.",3
Speed Boost,"Its Speed stat is gradually boosted.",3
Stakeout,"Deals double damage to Pokémon switching in.",7
Stall,"The Pokémon moves after all other Pokémon do.",4
Stalwart,"Ignores moves and abilities that draw in moves.",8
Stamina,"Raises Defense when attacked.",7
Stance Change,"Changes form depending on moves used.",6
Static,"Contact with the Pokémon may cause paralysis.",3
Steadfast,"Raises Speed each time the Pokémon flinches.",4
Steam Engine,"Drastically raises Speed when hit by a Fire- or Water-type move.",8
Steelworker,"Powers up Steel-type moves.",7
Steely Spirit,"Powers up ally Pokémon's Steel-type moves.",8
Stench,"The stench may cause the target to flinch.",3
Sticky Hold,"Protects the Pokémon from item theft.",3
Storm Drain,"Draws in all Water-type moves to up Sp. Attack.",4
Strong Jaw,"Boosts the power of contact moves.",6
Sturdy,"It cannot be knocked out with one hit.",3
Suction Cups,"Negates all moves that force switching out.",3
Super Luck,"Heightens the critical-hit ratios of moves.",4
Supreme Overlord,"Attack and Special Attack are boosted for each party Pokémon that has been defeated.",9
Surge Surfer,"Doubles Speed during Electric Terrain.",7
Swarm,"Powers up Bug-type moves in a pinch.",3
Sweet Veil,"Prevents the Pokémon and allies from falling asleep.",6
Swift Swim,"Boosts the Pokémon's Speed in rain.",3
Sword of Ruin,"Lowers Defense of all Pokémon except itself.",9
Symbiosis,"The Pokémon can pass an item to an ally.",6
Synchronize,"Passes a burn, poison, or paralysis to the foe.",3
Tablets of Ruin,"Lowers Attack of all Pokémon except itself.",9
Tangled Feet,"Raises evasion if the Pokémon is confused.",4
Tangling Hair,"Contact with the Pokémon lowers the attacker's Speed stat.",7
Technician,"Powers up the Pokémon's weaker moves.",4
Telepathy,"Anticipates an ally's attack and dodges it.",5
Teravolt,"Moves can be used regardless of Abilities.",5
Thermal Exchange,"Raises Attack when hit by a Fire-type move. Cannot be burned.",9
Thick Fat,"Ups resistance to Fire- and Ice-type moves.",3
Tinted Lens,"Powers up “not very effective” moves.",4
Torrent,"Powers up Water-type moves in a pinch.",3
Tough Claws,"Boosts the power of contact moves.",6
Toxic Boost,"Powers up physical attacks when poisoned.",5
Toxic Debris,"Scatters poison spikes at the feet of the opposing team when the Pokémon takes damage from physical moves.",9
Trace,"The Pokémon copies a foe's Ability.",3
Transistor,"Powers up Electric-type moves.",8
Triage,"Gives priority to restorative moves.",7
Truant,"Pokémon can't attack on consecutive turns.",3
Turboblaze,"Moves can be used regardless of Abilities.",5
Unaware,"Ignores any stat changes in the Pokémon.",4
Unburden,"Raises Speed if a held item is used.",4
Unnerve,"Makes the foe nervous and unable to eat Berries.",5
Unseen Fist,"Moves that make contact but don't go first fail.",8
Vanguard's Roar,"Boosts Defense and Sp. Def of ally Pokémon when the Pokémon enters battle.",9
Vital Spirit,"The Pokémon is full of vitality, and that prevents it from falling asleep.",3
Volt Absorb,"Restores HP if hit by an Electric-type move.",3
Wandering Spirit,"Swaps Abilities with the opposing Pokémon upon entering battle.",9
Water Absorb,"Restores HP if hit by a Water-type move.",3
Water Bubble,"Lowers damage from Fire-type moves. Powers up the Pokémon's Water-type moves.",7
Water Compaction,"Boosts Defense when hit by a Water-type move.",7
Water Veil,"Prevents the Pokémon from getting a burn.",3
Weak Armor,"Physical moves lower Defense and raise Speed.",4
White Smoke,"Prevents other Pokémon from lowering Attack stat.",3
Wimp Out,"Switches out when its HP drops below half.",7
Wire Tap,"The Pokémon copies a foe's held item.",9
Wonder Guard,"Only supereffective moves will hit.",3
Wonder Skin,"Makes status-changing moves more likely to miss.",4
Zen Mode,"Changes form when HP drops below half.",5
Zenith,"Boosts all stats and accuracy of ally Pokémon when the Pokémon enters battle.",9
Zenith's Boon,"Powers up the special move of an ally Pokémon when the Pokémon enters battle.",9
Zenith's Echo,"Powers up the physical move of an ally Pokémon when the Pokémon enters battle.",9
